flight_id,route,origin,destination,month,passengers,revenue_usd,fuel_cost_usd,on_time_pct,avg_delay_min,cancellations,aircraft_type,load_factor_pct
FL001,DEL-BOM,Delhi,Mumbai,Jan-2024,18420,2340000,820000,91.2,8,12,Airbus A320,84.3
FL002,BOM-BLR,Mumbai,Bengaluru,Jan-2024,15300,1870000,640000,88.5,11,8,Boeing 737,81.2
FL003,DEL-BLR,Delhi,Bengaluru,Jan-2024,12800,1920000,730000,85.0,15,14,Airbus A321,77.6
FL004,BLR-HYD,Bengaluru,Hyderabad,Jan-2024,9200,780000,310000,93.4,6,4,ATR 72,88.1
FL005,DEL-CCU,Delhi,Kolkata,Jan-2024,10500,1450000,590000,82.3,18,10,Boeing 737,75.4
FL006,BOM-DEL,Mumbai,Delhi,Feb-2024,19100,2510000,850000,90.1,9,9,Airbus A320,86.7
FL007,BLR-BOM,Bengaluru,Mumbai,Feb-2024,14800,1790000,620000,87.2,13,7,Boeing 737,80.5
FL008,HYD-DEL,Hyderabad,Delhi,Feb-2024,11200,1580000,680000,84.6,16,11,Airbus A321,78.9
FL009,CCU-BOM,Kolkata,Mumbai,Feb-2024,8900,1230000,520000,79.8,22,15,Boeing 737,72.1
FL010,DEL-BOM,Delhi,Mumbai,Feb-2024,17600,2280000,800000,92.5,7,8,Airbus A320,83.1
FL011,BOM-BLR,Mumbai,Bengaluru,Mar-2024,16100,2020000,660000,89.3,10,6,Boeing 737,83.4
FL012,DEL-BLR,Delhi,Bengaluru,Mar-2024,13500,2050000,760000,86.7,14,9,Airbus A321,79.2
FL013,BLR-HYD,Bengaluru,Hyderabad,Mar-2024,9800,840000,325000,94.1,5,3,ATR 72,89.5
FL014,DEL-CCU,Delhi,Kolkata,Mar-2024,11200,1580000,610000,83.9,16,8,Boeing 737,77.8
FL015,BOM-HYD,Mumbai,Hyderabad,Mar-2024,7600,980000,420000,88.0,12,5,Boeing 737,76.3
FL016,DEL-BOM,Delhi,Mumbai,Apr-2024,20300,2680000,890000,93.8,6,7,Airbus A320,88.9
FL017,BOM-BLR,Mumbai,Bengaluru,Apr-2024,17200,2150000,700000,91.0,8,5,Boeing 737,85.6
FL018,DEL-BLR,Delhi,Bengaluru,Apr-2024,14900,2290000,810000,88.5,11,7,Airbus A321,82.3
FL019,BLR-HYD,Bengaluru,Hyderabad,Apr-2024,10400,910000,345000,95.2,4,2,ATR 72,91.2
FL020,DEL-CCU,Delhi,Kolkata,Apr-2024,12100,1720000,640000,85.4,14,6,Boeing 737,80.1
FL021,CCU-BLR,Kolkata,Bengaluru,Apr-2024,7200,1080000,480000,81.2,19,12,Boeing 737,73.5
FL022,HYD-BOM,Hyderabad,Mumbai,Apr-2024,8800,1140000,440000,89.7,10,4,Boeing 737,79.8
FL023,DEL-BOM,Delhi,Mumbai,May-2024,21500,2890000,940000,94.5,5,5,Airbus A320,90.4
FL024,BOM-BLR,Mumbai,Bengaluru,May-2024,18400,2310000,740000,92.3,7,4,Boeing 737,87.2
FL025,DEL-BLR,Delhi,Bengaluru,May-2024,15800,2450000,850000,90.1,9,5,Airbus A321,84.7
FL026,BLR-HYD,Bengaluru,Hyderabad,May-2024,11100,980000,365000,96.0,3,1,ATR 72,92.8
FL027,DEL-CCU,Delhi,Kolkata,May-2024,12900,1860000,670000,87.2,12,5,Boeing 737,82.4
FL028,BOM-HYD,Mumbai,Hyderabad,May-2024,8200,1070000,450000,90.5,9,3,Boeing 737,78.6
FL029,CCU-DEL,Kolkata,Delhi,May-2024,9600,1380000,560000,83.6,17,9,Boeing 737,76.2
FL030,HYD-BLR,Hyderabad,Bengaluru,May-2024,10200,890000,338000,94.8,5,2,ATR 72,90.1
